,,,,,,"~~~eRAPTOR~~~",,,"&nbsp",,,,
"Jaden Springer",21,"PHI"," BOS","SG"," PG",40,399,-3.581364177,0.681883131,-2.899481046,-0.102648347,-0.127152071,
"Derrick Rose",35,"MEM","PG",24,399,-1.560107748,-1.344935395,-2.905043143,-0.104159815,-0.125604483,,,
"Christian Wood",28,"LAL","PF",50,872,-3.710678139,0.779386702,-2.931291437,-0.240028738,-0.289446419,,,
"Wendell Moore Jr.",22,"MIN","SG",17,50,-5.951132858,2.996315249,-2.954817609,-0.014433871,-0.017665335,,,
"Vasilije Micić",30,"CHO"," OKC","PG",47,810,-2.074926795,-0.909345886,-2.98427268,-0.248407001,-0.301755501,,
"Nick Richards",26,"CHO","C",58,1541,-2.132557844,-0.860553157,-2.993111001,-0.480826191,-0.579819819,,,
"Jordan Goodwin",25,"PHO"," MEM","PG",48,782,-3.498918892,0.475855561,-3.023063331,-0.256345796,-0.312492018,,
"Lester Quinones",23,"GSW","SG",30,358,-1.920651256,-1.110009578,-3.030660834,-0.118665401,-0.147432771,,,
"Killian Hayes",22,"DET","PG",42,1008,-2.762926194,-0.282808187,-3.045734382,-0.344404331,-0.42789629,,,
"Kyle Kuzma",28,"WAS","PF",65,2092,-1.03780822,-2.031808841,-3.069617061,-0.745778509,-0.912743847,,,
"Bojan Bogdanović",34,"DET"," NYK","PF"," SF",42,1240,-0.596539106,-2.508771354,-3.10531046,-0.469,-0.571192042,
"Skylar Mays",26,"POR"," LAL","PG"," SG",33,421,-1.928543943,-1.181235325,-3.109779269,-0.157647447,-0.194624143,
"Jeremy Sochan",20,"SAS","PF",67,1981,-2.644673737,-0.475924798,-3.120598535,-0.763104958,-0.933949352,,,
"Izaiah Brockington",24,"NOP","PG",1,3,-1.171339477,-1.966599403,-3.13793888,-0.001187347,-0.001453171,,,
"Georges Niang",30,"CLE","PF",67,1468,-2.747272397,-0.393058381,-3.140330778,-0.579429987,-0.709153118,,,
"Grant Williams",25,"DAL"," CHO","PF",64,1762,-2.493781731,-0.649867876,-3.143649608,-0.705336002,-0.869635768,,
"Jordan Hawkins",21,"NOP","SG",57,1085,-1.5234238,-1.624872049,-3.148295849,-0.435886378,-0.533472881,,,
"Taurean Prince",29,"LAL","PF",65,1839,-2.720097773,-0.443754497,-3.16385227,-0.750674353,-0.905224955,,,
"Jaxson Hayes",23,"LAL","C",57,668,-2.715316021,-0.449177936,-3.164493957,-0.272920641,-0.329110185,,,
"Jerome Robinson",26,"GSW","SG",17,65,-3.643622264,0.462232605,-3.181389659,-0.027135654,-0.033713994,,,
"Reggie Bullock",32,"HOU","SF",29,269,-3.098533698,-0.084794816,-3.183328514,-0.112786949,-0.138037759,,,
"Jason Preston",24,"UTA","PG",3,26,-2.562326575,-0.626173895,-3.18850047,-0.010978197,-0.013436003,,,
"Patrick Beverley",35,"PHI"," MIL","PG",62,1205,-2.747488093,-0.473042761,-3.220530854,-0.532814518,-0.652039991,,
"Leaky Black",24,"CHO","SF",22,218,-2.60537399,-0.685691472,-3.291065462,-0.105,-0.127002945,,,
"Olivier Sarr",24,"OKC","C",14,95,-3.422052864,0.128438923,-3.293613941,-0.045890792,-0.05616485,,,
"Marcus Morris",34,"PHI","PF",37,637,-2.407792726,-0.888886085,-3.296678811,-0.309784717,-0.379139504,,,
"Landry Shamet",26,"WAS","SG",46,726,-1.750367796,-1.562770957,-3.313138753,-0.360487469,-0.441193618,,,
"Ziaire Williams",22,"MEM","SF",51,1038,-3.041683775,-0.305811897,-3.347495673,-0.534294886,-0.644296774,,,
"Reggie Jackson",33,"DEN","PG",67,1474,-1.794758549,-1.574869146,-3.369627695,-0.78,-0.954,,,
"Filip Petrušev",23,"SAC"," PHI","C",3,10,-3.240125297,-0.188906395,-3.429031691,-0.005556751,-0.00699502,,
"Nassir Little",23,"PHO","SF",36,430,-2.327650415,-1.141271171,-3.468921586,-0.250867373,-0.30703171,,,
"Jordan Poole",24,"WAS","SG",65,1898,-1.898414462,-1.570984674,-3.469399136,-1.112994886,-1.362172846,,,
"Kevon Harris",26,"ORL","SG",2,6,-3.611150867,0.111945242,-3.499205626,-0.003604488,-0.004411463,,,
"Jaden Hardy",21,"DAL","SG",59,834,-1.132074253,-2.423864463,-3.555938716,-0.531392903,-0.650361463,,,
"MarJon Beauchamp",23,"MIL","SF",45,589,-2.135268038,-1.422666803,-3.557934841,-0.374220046,-0.458000654,,,
"Jaylen Nowell",24,"MEM","SG",9,156,-2.940840575,-0.617920869,-3.558761444,-0.099195009,-0.119617511,,,
"Anthony Black",20,"ORL","PG",60,1090,-4.131949061,0.56203923,-3.569909831,-0.69893121,-0.855408347,,,
"Lindy Waters III",26,"OKC","SG",28,186,-1.218597058,-2.367572906,-3.586169964,-0.120998412,-0.148087609,,,
"Terry Taylor",24,"CHI","PF",27,174,-3.228124788,-0.383463748,-3.611588536,-0.114513889,-0.138090278,,,
"Jalen Wilson",23,"BRK","PF",29,412,-1.756408269,-1.870540562,-3.626948831,-0.278064982,-0.340318337,,,
"Drew Eubanks",26,"PHO","C",61,959,-2.899707305,-0.74775519,-3.647462496,-0.657504631,-0.804707161,,,
"Bilal Coulibaly",19,"WAS","SF",63,1715,-3.214570618,-0.449449157,-3.664019775,-1.19763551,-1.465762864,,,
"Usman Garuba",21,"GSW","PF",3,8,-4.527527232,0.823456117,-3.704071114,-0.005725657,-0.007113695,,,
"Trey Jemison",24,"MEM"," WAS","C",15,290,-3.539063318,-0.265898421,-3.80496174,-0.225390041,-0.272106311,,
"Johnny Juzang",22,"UTA","SG",8,102,-1.203730026,-2.610562091,-3.814292117,-0.079550639,-0.097360484,,,
"Jericho Sims",25,"NYK","C",38,517,-2.93841013,-0.880133723,-3.818543852,-0.408,-0.498869757,,,
"Jeff Green",37,"HOU","PF",63,1029,-2.883117272,-0.972763522,-3.855880795,-0.826984816,-1.01213067,,,
"James Wiseman",22,"DET","C",47,697,-2.006091609,-1.858982703,-3.865074312,-0.565531352,-0.702629862,,,
"Shake Milton",27,"MIN"," DET"," NYK","SG",44,559,-3.379544608,-0.512351067,-3.891895676,-0.461184068,-0.565332485,
"Thomas Bryant",26,"MIA","C",29,306,-2.791173628,-1.11644989,-3.907623518,-0.256552157,-0.318746619,,,
"Jevon Carter",28,"CHI","PG",64,880,-3.670197824,-0.245590122,-3.915787946,-0.730785727,-0.881241612,,,
"Luka Garza",25,"MIN","C",16,63,0.601817729,-4.570468906,-3.968651177,-0.054692305,-0.06693685,,,
"Richaun Holmes",30,"DAL"," WAS","C"," PF",34,409,-2.627624739,-1.34526934,-3.972894079,-0.358913372,-0.439267112,
"Gabe Vincent",27,"LAL","PG",5,127,-3.737723956,-0.24663242,-3.984356375,-0.111405365,-0.134341764,,,
"Doug McDermott",32,"SAS"," IND","SF",52,766,-0.922794583,-3.070120853,-3.992915436,-0.679119655,-0.826970001,,
"Dalano Banton",24,"POR"," BOS","PG",40,574,-2.714019434,-1.282159151,-3.996178586,-0.505941327,-0.62309364,,
"Mo Bamba",25,"PHI","C",45,545,-4.573522354,0.554117861,-4.019404492,-0.491214613,-0.601188034,,,
"Max Christie",20,"LAL","SG",54,843,-3.529731938,-0.49482137,-4.024553308,-0.758855682,-0.915090675,,,
"Jules Bernard",24,"WAS","SG",10,43,-2.490426299,-1.55271375,-4.043140048,-0.039403505,-0.048225185,,,
"Ochai Agbaji",23,"UTA"," TOR","SG",66,1296,-3.257165085,-0.824980395,-4.08214548,-1.209167021,-1.479876056,,
"Chuma Okeke",25,"ORL","SF",39,397,-3.605819442,-0.477666723,-4.083486165,-0.37127769,-0.454399561,,,
"Andre Jackson Jr.",22,"MIL","SG",49,511,-2.544639286,-1.59489138,-4.139530666,-0.495050047,-0.605882147,,,
"Bryce McGowens",21,"CHO","SG",50,789,-2.735328024,-1.51239491,-4.247722934,-0.81461091,-0.982324921,,,
"Ousmane Dieng",20,"OKC","PF",30,338,-2.580044981,-1.686382324,-4.266427305,-0.351496157,-0.430189327,,,
"Maxi Kleber",32,"DAL","C",30,630,-3.952584581,-0.325427547,-4.278012128,-0.663433744,-0.811963687,,,
"Keyonte George",20,"UTA","PG",60,1559,-1.540861869,-2.742222771,-4.28308464,-1.633591274,-1.999320663,,,
"Matthew Hurt",23,"MEM","PF",8,113,-3.894556633,-0.409418336,-4.303974969,-0.12,-0.144868194,,,
"Bismack Biyombo",31,"MEM"," OKC","C",35,750,-5.002828328,0.637399028,-4.3654293,-0.823582334,-0.995344413,,
"Jay Huff",25,"DEN","C",14,36,-1.02328877,-3.370552826,-4.393841596,-0.040249724,-0.049260856,,,
"Julian Phillips",20,"CHI","SF",40,323,-3.279640902,-1.115282402,-4.394923303,-0.355895164,-0.429167698,,,
"Garrison Mathews",27,"ATL","SG",50,670,-2.346467284,-2.096014449,-4.442481733,-0.764203109,-0.949464468,,,
"Armoni Brooks",25,"BRK","PG",10,104,-3.865059806,-0.587982357,-4.453042162,-0.119446932,-0.146188782,,,
"Julian Strawther",21,"DEN","SF",41,497,-2.792263529,-1.683697977,-4.475961507,-0.579141567,-0.708800127,,,
"Gradey Dick",20,"TOR","SG",46,839,-2.294483159,-2.295999294,-4.590482453,-1.026548507,-1.2563728,,,
"Bones Hyland",23,"LAC","PG",28,411,-3.326651346,-1.273009013,-4.599660359,-0.508,-0.63134289,,,
"Aleksej Pokusevski",22,"CHO"," OKC","PF",15,142,-5.129136615,0.524955067,-4.604181549,-0.174441966,-0.217413205,,
"Dexter Dennis",24,"DAL","SG",4,30,-1.745792961,-2.922955863,-4.668748824,-0.038343906,-0.046928362,,,
"Jett Howard",20,"ORL","SF",13,49,-2.790099645,-1.930340192,-4.720439838,-0.063691194,-0.077950417,,,
"Wesley Matthews",37,"ATL","SG",26,285,-4.042659953,-0.679142584,-4.721802537,-0.370636389,-0.460487635,,,
"Ashton Hagans",24,"POR","PG",13,215,-5.37072164,0.624090205,-4.746631435,-0.280948438,-0.343847343,,,
"David Roddy",22,"MEM"," PHO","PF",58,1155,-4.107824079,-0.640289362,-4.748113442,-1.521677881,-1.839048485,,
"P.J. Tucker",38,"LAC"," PHI","PF",20,319,-4.796581499,0.022883385,-4.773698114,-0.426499782,-0.531902731,,
"Damian Jones",28,"CLE","C",31,230,-3.859608989,-0.915101964,-4.774710952,-0.305631717,-0.374056728,,,
"Vit Krejci",23,"ATL","PG",6,110,-4.196927292,-0.591792937,-4.788720229,-0.14726588,-0.1829667,,,
"Colby Jones",21,"SAC","SG",19,126,-4.654190783,-0.282091669,-4.936282452,-0.178767741,-0.222105375,,,
"Danny Green",36,"PHI","SG",2,18,-6.434906574,1.344202715,-5.090703859,-0.027296228,-0.033407323,,,
"DeAndre Jordan",35,"DEN","C",29,327,-3.610493392,-1.537980251,-5.148473643,-0.507515222,-0.621138033,,,
"Olivier-Maxence Prosper",21,"DAL","PF",33,260,-3.319342626,-1.850811949,-5.170154576,-0.407403184,-0.498612853,,,
"Patty Mills",35,"ATL"," MIA","PG",23,261,-4.846081689,-0.326292009,-5.172373698,-0.406478197,-0.505018367,,
"Malachi Flynn",25,"TOR"," DET"," NYK","PG",55,609,-3.91647919,-1.296836951,-5.213316141,-0.963341878,-1.184357256,
"Tosan Evbuomwan",22,"MEM"," DET","SF",7,91,-2.687210691,-2.52957322,-5.21678391,-0.144378879,-0.172218386,,
"Zach Collins",26,"SAS","C",55,1257,-3.053816582,-2.214380568,-5.26819715,-2.034296987,-2.489736611,,,
"Trent Forrest",25,"ATL","SG",28,287,-2.813234406,-2.523782308,-5.337016714,-0.474299996,-0.589281813,,,
"Noah Clowney",19,"BRK","PF",10,86,-2.079380295,-3.283367523,-5.362747818,-0.143626685,-0.175781913,,,
"Justin Minaya",24,"POR","SF",24,192,-5.172462324,-0.292542108,-5.465004432,-0.329362551,-0.403100435,,,
"Rayan Rupert",19,"POR","SG",24,223,-3.71887965,-1.78887744,-5.50775709,-0.387964823,-0.47482262,,,
"Cory Joseph",32,"GSW","PG",26,296,-4.219142215,-1.336964505,-5.556106719,-0.524646861,-0.651833979,,,
"JT Thor",21,"CHO","PF",51,632,-5.21162671,-0.404821768,-5.616448479,-1.149244837,-1.385854068,,,
"Kendall Brown",20,"IND","SG",9,32,-0.370505322,-5.303960374,-5.674465696,-0.059346335,-0.071564698,,,
"Isaiah Mobley",24,"CLE","PF",6,51,-4.381024059,-1.394725671,-5.77574973,-0.096949731,-0.118654894,,,
"Jalen Pickett",24,"DEN","SG",21,108,-3.751772166,-2.041264993,-5.793037159,-0.207653835,-0.254143499,,,
"Brice Sensabaugh",20,"UTA","SF",17,249,-3.036242904,-2.878427712,-5.914670616,-0.493113387,-0.603511906,,,
"Zeke Nnaji",23,"DEN","PF",52,512,-5.059918503,-0.867391767,-5.92731027,-1.023969648,-1.253216584,,,
"Chris Livingston",20,"MIL","SF",16,69,-4.815575483,-1.162507196,-5.978082679,-0.139577308,-0.17082596,,,
"Davion Mitchell",25,"SAC","PG",56,764,-3.372190976,-2.607869641,-5.980060617,-1.538969843,-1.912053441,,,
"Yuta Watanabe",29,"PHO"," MEM","SF",34,464,-4.646137579,-1.341037768,-5.987175347,-0.939970194,-1.145965077,,
"Kenneth Lofton Jr.",21,"MEM"," PHI","PF",17,108,-6.508929798,0.521410745,-5.987519054,-0.219344586,-0.267867968,,
"Luka Šamanić",24,"UTA","PF",33,237,-5.001182202,-1.00732386,-6.008506062,-0.482059539,-0.589983317,,,
"Garrett Temple",37,"TOR","SG",16,69,-4.143990222,-1.94567398,-6.089664202,-0.143547066,-0.175684468,,,
"Jalen McDaniels",26,"TOR","SF",38,365,-5.502833675,-0.643021084,-6.145854759,-0.771065365,-0.943691939,,,
"Joe Harris",32,"DET","SG",16,170,-4.072568617,-2.222346056,-6.294914673,-0.374739431,-0.465585353,,,
"Harry Giles",25,"BRK"," LAL","C",20,88,-2.763282578,-3.541198624,-6.304481202,-0.194145015,-0.235593632,,
"E.J. Liddell",23,"NOP","PF",8,23,-11.8274089,5.515197763,-6.312211138,-0.051089807,-0.062527823,,,
"Udoka Azubuike",24,"PHO","C",14,107,-3.944531022,-2.420720528,-6.36525155,-0.239825674,-0.293517989,,,
"Omer Yurtseven",25,"UTA","C",36,335,-4.407811145,-1.968098309,-6.375909454,-0.751738363,-0.920037997,,,
"Javon Freeman-Liberty",24,"TOR","PG",7,71,-4.086877326,-2.640964933,-6.727842259,-0.17360505,-0.212471853,,,
"Nick Smith Jr.",19,"CHO","SG",42,629,-3.775915688,-2.994339728,-6.770255416,-1.560534998,-1.881821615,,,
"Mike Muscala",32,"WAS"," DET"," OKC","C",42,530,-5.00236208,-1.802787216,-6.805149296,-1.327342044,-1.622760236,
"Isaiah Livers",25,"DET","PF",23,469,-4.891611449,-1.955627339,-6.847238788,-1.182341503,-1.468969746,,,
"Johnny Davis",21,"WAS","SG",36,352,-5.807573471,-1.05416819,-6.86174166,-0.893139865,-1.093096551,,,
"Malaki Branham",20,"SAS","PG",62,1278,-4.098572465,-2.780926056,-6.879498521,-3.250711371,-3.978482574,,,
"Justin Jackson",28,"MIN","SF",2,1,-4.951278075,-1.952404322,-6.903682397,-0.002545643,-0.003115563,,,
"Juan Toscano-Anderson",30,"SAC","SF",11,53,-6.914839007,0.006874627,-6.90796438,-0.134821865,-0.167505954,,,
"Jordan Miller",24,"LAC","SF",7,26,0.103899091,-7.015800832,-6.911901741,-0.066719008,-0.082893313,,,
"Jacob Toppin",23,"NYK","SF",9,38,-1.098789546,-5.871400745,-6.970190291,-0.098942098,-0.121093315,,,
"Scoot Henderson",19,"POR","PG",48,1287,-4.724173375,-2.262162732,-6.986336107,-3.321667278,-4.065324131,,,
"Kobe Brown",24,"LAC","PF",35,289,-5.072234439,-1.992536,-7.064770438,-0.767014071,-0.952956876,,,
"Colin Castleton",23,"LAL","C",7,36,0.528882291,-7.617617564,-7.088735273,-0.095461559,-0.11511541,,,
"Kira Lewis Jr.",22,"NOP"," UTA"," TOR","PG",19,153,-5.815125698,-1.322595855,-7.137721552,-0.412664598,-0.505052194,
"Moses Brown",24,"POR","C",14,116,-5.920502093,-1.264761169,-7.185263262,-0.312516836,-0.382483292,,,
"Markieff Morris",34,"DAL","PF",20,168,-5.32120912,-1.967018056,-7.288227176,-0.468203529,-0.573025215,,,
"Greg Brown III",22,"DAL","PF",6,40,-6.664150547,-0.757422569,-7.421573117,-0.114549272,-0.140194632,,,
"Cole Swider",24,"MIA","SF",11,55,-5.728120914,-1.694211061,-7.422331974,-0.157281056,-0.195409797,,,
"Ryan Arcidiacono",29,"NYK","PG",20,45,-10.08712989,2.661886451,-7.425243442,-0.128963065,-0.157835393,,,
"Taj Gibson",38,"NYK","PF",16,165,-7.078658695,-0.480542622,-7.559201317,-0.485595725,-0.594311186,,,
"Admiral Schofield",26,"ORL","PF",17,58,-6.740730426,-0.880587827,-7.621318253,-0.171701628,-0.210142292,,,
"Ish Smith",35,"CHO","PG",43,741,-5.524471925,-2.398814673,-7.923286597,-2.329025718,-2.808531013,,,
"Brandon Williams",24,"DAL","PG",12,59,-3.346034574,-4.652424828,-7.998459402,-0.188564769,-0.230780762,,,
"R.J. Hampton",22,"MIA","PG",8,76,-7.178163339,-0.939118871,-8.11728221,-0.247707543,-0.307757856,,,
"Marques Bolden",25,"CHO"," MIL","C",4,16,-10.36434662,2.230703862,-8.133642754,-0.052271659,-0.062473811,,
"Ibou Badji",21,"POR","C",19,205,-7.70126519,-0.756005558,-8.457270748,-0.700643781,-0.857504329,,,
"Brandon Boston Jr.",22,"LAC","SF",22,164,-3.736796925,-4.764322431,-8.501119356,-0.570727884,-0.709086159,,,
"Thanasis Antetokounmpo",31,"MIL","PF",28,133,-6.808996129,-1.696689815,-8.505685945,-0.461772936,-0.565154937,,,
"Boban Marjanović",35,"HOU","C",10,50,-5.274928707,-3.705881773,-8.98081048,-0.186641035,-0.228426341,,,
"D.J. Carton",23,"TOR","SG",4,36,-3.383395538,-5.759897315,-9.143292853,-0.137724737,-0.168558634,,,
"Jalen Crutcher",24,"NOP","PG",1,3,-12.80631862,3.349728172,-9.456590448,-0.012088855,-0.014795315,,,
"Wenyen Gabriel",26,"MEM","PF",5,81,-10.3513019,0.802994169,-9.548307734,-0.329670601,-0.39754396,,,
"AJ Griffin",20,"ATL","SF",18,132,-6.317674924,-3.309477559,-9.627152484,-0.542281055,-0.673743129,,,
"DaQuan Jeffries",26,"NYK","SG",13,34,-7.179024261,-2.646316722,-9.825340983,-0.144441524,-0.176779179,,,
"Keyontae Johnson",23,"OKC","SF",9,66,-6.932411279,-3.010082538,-9.942493817,-0.283079654,-0.346455695,,,
"Robin Lopez",35,"MIL","C",16,65,-5.937605652,-4.012973645,-9.950579296,-0.279523309,-0.342103154,,,
"Théo Maledon",22,"CHO"," PHO","PG",17,213,-8.22318123,-1.787161487,-10.01034272,-0.924247377,-1.117395931,,
"Nathan Mensah",25,"CHO","C",25,307,-8.050098094,-2.083856365,-10.13395446,-1.354643612,-1.633540826,,,
"Seth Lundy",23,"ATL","SF",9,52,-6.971470242,-3.522558748,-10.49402899,-0.239427256,-0.297470227,,,
"Amari Bailey",19,"CHO","PG",4,16,-8.186903871,-2.579379876,-10.76628375,-0.076409974,-0.092141439,,,
"Frank Ntilikina",25,"CHO","PG",5,43,-8.73586868,-2.048245591,-10.78411427,-0.205792074,-0.248161031,,,
"TyTy Washington Jr.",22,"MIL","PG",5,21,-12.19477624,1.110975254,-11.08380099,-0.103951126,-0.127223766,,,
"D'Moi Hodge",25,"LAL","SG",7,41,-5.12622268,-6.043991249,-11.17021393,-0.204374134,-0.246451162,,,
"Hunter Tyson",23,"DEN","PF",11,32,-10.56432282,-0.969461229,-11.53378405,-0.167174576,-0.204601719,,,
"Ty Jerome",26,"CLE","SG",2,15,-4.225137599,-7.618178769,-11.84331637,-0.080533197,-0.098563017,,,
"Jalen Slawson",24,"SAC","SF",6,20,-8.648843476,-3.220690924,-11.8695344,-0.107,-0.133556107,,,
"Darius Bazley",23,"PHI","PF",3,10,-8.975524901,-2.921110332,-11.89663523,-0.054244596,-0.066388908,,,
"Pete Nance",23,"CLE","PF",3,7,-13.3720835,1.402974335,-11.96910916,-0.038085435,-0.046612025,,,
"Emoni Bates",20,"CLE","SF",11,88,-7.659757302,-4.338603604,-11.99836091,-0.480259574,-0.587780374,,,
"Dariq Whitehead",19,"BRK","SF",2,24,-7.785516701,-5.345159658,-13.13067636,-0.14696548,-0.1798682,,,
"Charlie Brown Jr.",26,"NYK","SG",8,37,-10.92130805,-2.307859501,-13.22916756,-0.229727564,-0.281159109,,,
"Jalen Hood-Schifino",20,"LAL","SG",21,109,-11.43266925,-3.150443694,-14.58311294,-0.755979461,-0.911622291,,,
"Xavier Moon",29,"LAC","SG",4,18,-6.723078686,-8.207308801,-14.93038749,-0.129,-0.160513037,,,
"Pat Spencer",27,"GSW","PG",2,3,-3.615440144,-11.81588634,-15.43132648,-0.0222214,-0.027608406,,,
"Maxwell Lewis",21,"LAL","SF",24,77,-10.33935695,-5.164097535,-15.50345449,-0.574548612,-0.692838032,,,
"Adam Flagler",24,"OKC","SG",1,6,-14.02437246,-1.505024601,-15.52939706,-0.044923212,-0.054980648,,,
"Shaquille Harrison",30,"MEM","SG",3,6,-10.96352349,-4.589439433,-15.55296293,-0.045076873,-0.054357406,,,
"Jamaree Bouyea",24,"POR","PG",6,57,-14.38592512,-3.714373845,-18.10029896,-0.507518652,-0.621142231,,,
"Mouhamed Gueye",21,"ATL","PF",2,4,-15.41812018,-4.927144466,-20.34526465,-0.040971978,-0.050904579,,,
"Lindell Wigginton",25,"MIL","PG",3,8,-9.641338574,-11.10742713,-20.7487657,-0.083929122,-0.102719224,,,
"Kaiser Gates",27,"NOP","SF",1,7,-20.57804976,-1.798509226,-22.37655899,-0.08021895,-0.098178416,,,
"Ron Harper Jr.",23,"TOR","PF",1,4,-9.04,-15.06913866,-24.11192882,-0.049523915,-0.060611359,,,
"Alex Fudge",20,"LAL","SF",4,14,-12.97227636,-11.9500665,-24.92234286,-0.17983877,-0.216864399,,,
"Dmytro Skapintsev",25,"NYK","C",2,2,-20.18130304,-5.226849621,-25.4,-0.026447674,-0.032368795,,,
"Alondes Williams",24,"MIA","SG",2,9,-21.78414996,-4.96666894,-26.7508189,-0.125776295,-0.156267518,,,
"Quenton Jackson",25,"IND","PG",1,2,-14.65678173,-12.11237116,-26.76915289,-0.027972671,-0.033731751,,,
"Joshua Primo",21,"LAC","SG",2,10,-24.12257304,-3.025950009,-27.14852305,-0.142038568,-0.176472161,,,
"Javonte Smart",24,"PHI","PG",1,1,-21.65033312,-36.34087799,-57.99121111,-0.0319,-0.039032261,,,
